landmark_id,landmark_name,address,image_path,file_name,areaId
83,가린열공원,서울특별시 구로구 개봉동,가린열공원_001_0.jpg,가린열공원_001_0.jpg,4
84,가산생활문화센터,서울특별시 금천구 가산동 142-45,감로천생태공원_001_40952542.JPG,감로천생태공원_001_40952542.JPG,16
85,가재울중앙공원,서울특별시 서대문구 북가좌동 480,가재울중앙공원_001_0.jpg,가재울중앙공원_001_0.jpg,5
86,가톨릭대학교_성의교정,서울특별시 서초구 반포동 505,51.가톨릭대학교성의교정_001_41545210.jpg,51.가톨릭대학교성의교정_001_41545210.jpg,10
87,가톨릭대학교_성의교정대학본관,서울특별시 서초구 반포동 505,52.가톨릭대학교성의교정대학본관_001_41545707.jpg,52.가톨릭대학교성의교정대학본관_001_41545707.jpg,10
88,가톨릭대학교성신교정도서관,서울특별시 종로구 혜화동 90-1,가톨릭대학교성신교정도서관_001_37256642.jpg,가톨릭대학교성신교정도서관_001_37256642.jpg,1
89,가톨릭대학교성의교정_성의회관,서울특별시 서초구 반포동 산38-2,71.가톨릭대학교성의교정성의회관_001_41545842.jpg,71.가톨릭대학교성의교정성의회관_001_41545842.jpg,10
90,가톨릭청소년회관,"서울특별시 종로구 대학로 156 동성중고교,카톨릭청소년회관",가톨릭청소년회관_002_36297977.jpg,가톨릭청소년회관_002_36297977.jpg,1
91,가회동성당,서울특별시 종로구 가회동 30-3,가회동성당_001_32153510.JPG,가회동성당_001_32153510.JPG,1
92,가회민화박물관,서울특별시 종로구 북촌로12길 17 북촌로 52,가회민화박물관_001_33043752.JPG,가회민화박물관_001_33043752.JPG,1
93,간데메공원,서울특별시 동대문구 답십리동 471,20개_간데메공원_001_38700933.jpg,20개_간데메공원_001_38700933.jpg,19
94,간송옛집,서울특별시 도봉구 방학동 430,서울시   도봉구   간송 옛집_20201026_002_35179886.jpg,서울시   도봉구   간송 옛집_20201026_002_35179886.jpg,20
95,갈곡리어린이공원,서울특별시 은평구 갈현동436-51,갈곡리어린이공원_001_0.jpg,갈곡리어린이공원_001_0.jpg,12
96,갈현1단지e-편한세상아파트,서울특별시 은평구 구산동 547,갈현동E편한세상1단지아파트_001_0.jpg,갈현동E편한세상1단지아파트_001_0.jpg,12
97,갈현동현대아파트,서울특별시 은평구 구산동 382,갈현동현대아파트_001_0.jpg,갈현동현대아파트_001_0.jpg,12
98,감고당길,서울특별시 종로구 안국동,감고당길_001_0.jpg,감고당길_001_0.jpg,1
99,감로천생태공원,서울특별시 금천구 독산동 373,감로천생태공원_001_40907673.JPG,감로천생태공원_001_40907673.JPG,16
100,감리교신학대학교,서울특별시 서대문구 냉천동 31,감리교신학대학교_001_36453076.jpg,감리교신학대학교_001_36453076.jpg,5
101,강가햇살어린이놀이터,서울특별시 광진구 자양동,강가햇살어린이놀이터_001_34771671.JPG,강가햇살어린이놀이터_001_34771671.JPG,2
102,강남개포시장,서울특별시 강남구 개포2동 186-16,강남개포시장_001_36436443.jpg,강남개포시장_001_36436443.jpg,9
103,강남고속버스터미널(경부),서울특별시 서초구 신반포로 194,강남고속버스터미널(경부)_002_42459860.jpg,강남고속버스터미널(경부)_002_42459860.jpg,10
104,강남구립정다운도서관,서울특별시 강남구 학동로67길 11,강남구립정다운도서관_002_35269475.jpg,강남구립정다운도서관_002_35269475.jpg,9
105,강남구민체육관,서울특별시 강남구 개포동 1271,강남구민체육관_003_36436852.jpg,강남구민체육관_003_36436852.jpg,9
106,강남구보건소,"서울특별시 강남구 선릉로 668 강남구보건소,강남구립국제교육원",강남구보건소_001_35270156.jpg,강남구보건소_001_35270156.jpg,9
107,강남구청,서울특별시 강남구 학동로 426 강남구청,강남구청_001_33547386.JPG,강남구청_001_33547386.JPG,9
